,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
SR NO,MODEL NAME,Provider,Type,Duration (Seconds),Resolution (Upto),Aspect Ratio,PRICE TO PAY (per image),OVER CHARGE (per image),USER COST (per image),Credit per generation,Column 1,"PLAN A (12,360)","PLAN B (24,720)","PLAN C (61,800)","PLAN D (197,760)",FREE (2000),Max Amount
137,LTX V2 Fast,Fal,I2V/T2V,6,1440p,,0.48,0.03,0.51,1020,,12.11764706,24.23529412,60.58823529,193.8823529,1.960784314,
138,LTX V2 Fast,Fal,I2V/T2V,6,2160p,,0.96,0.03,0.99,1980,,6.242424242,12.48484848,31.21212121,99.87878788,1.01010101,
139,LTX V2 Fast,Fal,I2V/T2V,8,1080p,,0.32,0.03,0.35,700,,17.65714286,35.31428571,88.28571429,282.5142857,2.857142857,
140,LTX V2 Fast,Fal,I2V/T2V,8,1440p,,0.64,0.03,0.67,1340,,9.223880597,18.44776119,46.11940299,147.5820896,1.492537313,
141,LTX V2 Fast,Fal,I2V/T2V,8,2160p,,1.28,0.03,1.31,2620,,4.717557252,9.435114504,23.58778626,75.48091603,0.7633587786,
142,LTX V2 Fast,Fal,I2V/T2V,10,1080p,,0.4,0.03,0.43,860,,14.37209302,28.74418605,71.86046512,229.9534884,2.325581395,
143,LTX V2 Fast,Fal,I2V/T2V,10,1440p,,0.8,0.03,0.83,1660,,7.445783133,14.89156627,37.22891566,119.1325301,1.204819277,
144,LTX V2 Fast,Fal,I2V/T2V,10,2160p,,1.6,0.03,1.63,3260,,3.791411043,7.582822086,18.95705521,60.66257669,0.6134969325,
145,Fal AI Video Upscaler,Fal,Video Upscaler (V2V),5,720p,,0.037,0.03,0.067,134,,92.23880597,184.4776119,461.1940299,1475.820896,14.92537313,
146,Fal AI Video Upscaler,Fal,Video Upscaler (V2V),5,1080p,,0.08,0.03,0.11,220,,56.18181818,112.3636364,280.9090909,898.9090909,9.090909091,
147,Fal AI Video Upscaler,Fal,Video Upscaler (V2V),5,1440p,,0.1475,0.03,0.1775,355,,34.81690141,69.63380282,174.084507,557.0704225,5.633802817,
148,Fal AI Video Upscaler,Fal,Video Upscaler (V2V),5,4K,,0.3315,0.03,0.3615,723,,17.09543568,34.19087137,85.47717842,273.526971,2.766251729,
149,Fal AI Video Upscaler,Fal,Video Upscaler (V2V),10,720p,,0.074,0.03,0.104,208,,59.42307692,118.8461538,297.1153846,950.7692308,9.615384615,
150,Fal AI Video Upscaler,Fal,Video Upscaler (V2V),10,1080p,,0.166,0.03,0.196,392,,31.53061224,63.06122449,157.6530612,504.4897959,5.102040816,
151,Fal AI Video Upscaler,Fal,Video Upscaler (V2V),10,2K,,0.296,0.03,0.326,652,,18.95705521,37.91411043,94.78527607,303.3128834,3.067484663,
152,Fal AI Video Upscaler,Fal,Video Upscaler (V2V),10,4K,,0.663,0.03,0.693,1386,,8.917748918,17.83549784,44.58874459,142.6839827,1.443001443,
153,SeedVR2,Fal,Video Upscaler (V2V),5,720p,,0.5,0.03,0.53,1060,,11.66037736,23.32075472,58.30188679,186.5660377,1.886792453,
154,SeedVR2,Fal,Video Upscaler (V2V),5,1080p,,1.5,0.03,1.53,3060,,4.039215686,8.078431373,20.19607843,64.62745098,0.6535947712,
155,SeedVR2,Fal,Video Upscaler (V2V),5,2K,,3,0.03,3.03,6060,,2.03960396,4.079207921,10.1980198,32.63366337,0.3300330033,
156,SeedVR2,Fal,Video Upscaler (V2V),10,720p,,1,0.03,1.03,2060,,6,12,30,96,0.9708737864,
157,SeedVR2,Fal,Video Upscaler (V2V),10,1080p,,3,0.03,3.03,6060,,2.03960396,4.079207921,10.1980198,32.63366337,0.3300330033,
158,SeedVR2,Fal,Video Upscaler (V2V),10,2K,,6,0.03,6.03,12060,,1.024875622,2.049751244,5.124378109,16.39800995,0.1658374793,
159,ChatGPT Prompt Enhancer (4o),Open AI,T2T,Invalid,Invalid,,0.00875,0.00125,0.01,20,,618,1236,3090,9888,100,
,,,,,,,0.07573809524,,,   ,,,,,,,
,,,,,,,1.059318182,,,,,,,,,,
,,,,,,,0.03861538462,,,,,,,,,,
Legend:,,,,,,,,,,,,,,,,,
Image,Unlimited,,,,,,,,,,,,,,,,
Music,0,,,,,,,,,,,,,,,,
Video,maximum,,,,,,,,,,,,,,,,
Prompt Enhancer,Cheapest,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Image Generation () Average Price to Pay,0.08055263158,,,,,,,,,,,,,,,,
Video Generation () Average Price to Pay,0.851,,,,,,,,,,,,,,,,
Audio Generation() Average Price to Pay,0.03861538462,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
PLANS:,COST Breakdown,,Plan Cost,Display Cost (Rounded Up),,,,,,,,,,,,,
A,6.18 + 1.5(10 GB) + 0.7956,,8.44,8.55,,,,,,,,,,,,,
B,12.36 + 3.5 (30 GB) + 1.5687,,17.43,17.55,,,,,,,,,,,,,
C,30.9 + 6 (50 GB) +  3.6495,,40.55,40.55,,,,,,,,,,,,,
D,98.88 + 17.5 (150 GB) + 11.5101,,127.89,128.55,,,,,,,,,,,,,
F,2.06 + 0 (0 GB) + 0,,0,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
For Prompt Enhancer:,(Per token pricing: 0.0000125),,,,,,,,,,,,,,,,
Max Input Token Length,100,,0.00125,,,,,,,,,,,,,,
Max Middle Layer Token Length,100,,0.00125,,,,,,,,,,,,,,
Max Output Token Length,500,,0.00625,,,,,,,,,,,,,,
Total,700,,0.00875,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Additional Credit Plans,Eligibile Customers (Plans),,Credits,Price (USD),Per Credit Price (USD),,,,,,,,,,,,
Explorer,"B, C, D",,1000,0.7,0.0007,,,,,,,,,,,,
Essential,"B, C, D",,2000,1.3,0.00065,,,,,,,,,,,,
Enthusiast,"C, D",,5000,3,0.0006,,,,,,,,,,,,
